word,feminine,neuter,comparative,superlative,adverb,declension,adj_stem
coleoptratus,coleoptrata,coleoptratum,coleoptratior,,,12,coleoptrat
oleraceus,oleracea,oleraceum,oleraceior,,,12,olerace
holeraceus,holeracea,holeraceum,holeraceior,,,12,holerace
oreophilus,oreophila,oreophilum,oreophilior,,,12,oreophil
emblicus,emblica,emblicum,emblicior,,,12,emblic
flavovirens,flavovirens,flavovirens,flavovirentior,,,3,flavovirent
laetevirens,laetevirens,laetevirens,laetevirentior,,,3,laetevirent
laurifolius,laurifolia,laurifolium,laurifoliior,,,12,laurifoli
oppositifolius,oppositifolia,oppositifolium,oppositifoliior,,,12,oppositifoli
ursinus,ursina,ursinum,ursinior,,,12,ursin
rufigaster,rufigastra,rufigastrum,rufigastrior,,,12,rufigastr
chrysogaster,chrysogastra,chrysogastrum,chrysogastrior,,,12,chrysogastr
travancoricus,travancorica,travancoricum,travancoricior,,,12,travancoric
molinus,molina,molinum,molinior,,,12,molin
nigericus,nigerica,nigericum,nigericior,,,12,nigeric
sechellarus,sechellara,sechellarum,sechellarior,,,12,sechellar
leucocephalus,leucocephala,leucocephalum,leucocephalior,,,12,leucocephal
hydrochaeris,hydrochaeris,hydrochaere,hydrochaerior,,,3,hydrochaer
methysticus,methystica,methysticum,methysticior,,,12,methystic
ecuatorianus,ecuatoriana,ecuatorianum,ecuatorianior,,,12,ecuatorian
quietensis,quietensis,quietense,quietensior,,,3,quietens
pastazanus,pastazana,pastazanum,pastazanior,,,12,pastazan
nesiotes,nesiotes,nesiotes,nesiotior,,,3,nesiot
semitorquatus,semitorquata,semitorquatum,semitorquatior,,,12,semitorquat
bijugatus,bijugata,bijugatum,bijugatior,,,12,bijugat
decemlineatus,decemlineata,decemlineatum,decemlineatior,,,12,decemlineat
habenularus,habenulara,habenularum,habenularior,,,12,habenular
kauaiensis,kauaiensis,kauaiense,kauaiensior,,,3,kauaiens
gambiensis,gambiensis,gambiense,gambiensior,,,3,gambiens
emeiensis,emeiensis,emeiense,emeiensior,,,3,emeiens
gobiensis,gobiensis,gobiense,gobiensior,,,3,gobiens
columbiensis,columbiensis,columbiense,columbiensior,,,3,columbiens
colombiensis,colombiensis,colombiense,colombiensior,,,3,colombiens
hawaiensis,hawaiensis,hawaiense,hawaiensior,,,3,hawaiens
georgiensis,georgiensis,georgiense,georgiensior,,,3,georgiens
kilifiensis,kilifiensis,kilifiense,kilifiensior,,,3,kilifiens
karachiensis,karachiensis,karachiense,karachiensior,,,3,karachiens
namibiensis,namibiensis,namibiense,namibiensior,,,3,namibiens
delhiensis,delhiensis,delhiense,delhiensior,,,3,delhiens
delphinensis,delphinensis,delphinense,delphinensior,,,3,delphinens
abchasicus,abchasica,abchasicum,abchasicior,,,12,abchasic
aberdeenensis,aberdeenensis,aberdeenense,aberdeenensior,,,3,aberdeenens
abietifolius,abietifolia,abietifolium,abietifoliior,,,12,abietifoli
abbreviatulus,abbreviatula,abbreviatulum,abbreviatulior,,,12,abbreviatul
abietinus,abietina,abietinum,abietinior,,,12,abietin
aboriginus,aborigina,aboriginum,aboriginior,,,12,aborigin
abrotanelloides,abrotanelloides,abrotanelloides,abrotanelloidior,,,3,abrotanelloid
abrotanifolius,abrotanifolia,abrotanifolium,abrotanifoliior,,,12,abrotanifoli
absinthifolius,absinthifolia,absinthifolium,absinthifoliior,,,12,absinthifoli
abundiflorus,abundiflora,abundiflorum,abundiflorior,,,12,abundiflor
acaciiformis,acaciiformis,acaciiforme,acaciiformior,,,3,acaciiform
acacioides,acacioides,acacioides,acacioidior,,,3,acacioid
acalyphaceus,acalyphacea,acalyphaceum,acalyphaceior,,,12,acalyphace
acanthius,acanthia,acanthium,acanthiior,,,12,acanthi
acanthicarpus,acanthicarpa,acanthicarpum,acanthicarpior,,,12,acanthicarp
acanthifolius,acanthifolia,acanthifolium,acanthifoliior,,,12,acanthifoli
pinnatifidus,pinnatifida,pinnatifidum,pinnatifidior,,,12,pinnatifid
arbutifolius,arbutifolia,arbutifolium,arbutifoliior,,,12,arbutifoli
pyrifolius,pyrifolia,pyrifolium,pyrifoliior,,,12,pyrifoli
melanocarpus,melanocarpa,melanocarpum,melanocarpior,,,12,melanocarp
prunifolius,prunifolia,prunifolium,prunifoliior,,,12,prunifoli
cavallus,cavalla,cavallum,cavallior,,,12,cavall
